python3 main.py
Hello World!
(0.013449481572491134, 0.00017952325178913976)
Iteration 0-0, k: 10, rho: 0.5
Lambda: 250.0
Q size: 0.019309262166405022
Packets generated: 1243
Proportion of packets lost: 0.9774738535800482
Departure: 0.1064825841127559 2
Observer: 0.10675444778496852 2
Observer: 0.1078534129516403 2
Departure: 0.1080505942888005 1
Observer: 0.10841347118125141 1
Departure: 0.10848964017225321 0
Observer: 0.10898343530859438 0
Observer: 0.10900773615080504 0
Observer: 0.10924115785570641 0
Observer: 0.11064609794024327 0
Observer: 0.11109932762132622 0
Arrival: 0.11149805375596102 1
Observer: 0.11167431303960937 1
Observer: 0.1119375438445751 1
Departure: 0.11279336534783171 0
Observer: 0.11327164775093244 0
Observer: 0.11348110555552791 0
Arrival: 0.11401565414139411 1
Observer: 0.11443191718506988 1
Arrival: 0.11574641240615324 2
Departure: 0.11575685149249608 1
Observer: 0.11651108912889806 1
Observer: 0.11731405136347385 1
Observer: 0.11869801496865337 1
Observer: 0.11871259195197648 1
Departure: 0.1189218087513151 0
Observer: 0.12005993366670246 0
Arrival: 0.12057778598192243 1
Observer: 0.12151622487248769 1
Observer: 0.12177627028503928 1
Observer: 0.12181021247142738 1
Departure: 0.12190492981803691 0
Observer: 0.12200256357812626 0
Observer: 0.12525675603568817 0
Observer: 0.1253766846187955 0
Observer: 0.125547626350002 0
Observer: 0.12702743082943527 0
Observer: 0.12756090357708427 0
Observer: 0.12770541876597238 0
Observer: 0.12842105747826918 0
Arrival: 0.12861485371722403 1
Observer: 0.12889258127276154 1
Observer: 0.12971941558692596 1
Observer: 0.1304177482010493 1
Observer: 0.1304767453261764 1
Arrival: 0.1310870789561787 2
Observer: 0.1313683446004667 2
Observer: 0.13142470304962733 2
Observer: 0.13163032062775482 2
Observer: 0.13232439705765803 2
Observer: 0.13255953684989166 2
Observer: 0.13366788710492844 2
Observer: 0.13385786825058893 2
Departure: 0.13481541982906883 1
Observer: 0.13510247599721664 1
Observer: 0.1351985693953467 1
Observer: 0.1365625305223735 1
Departure: 0.13658894675520775 0
Observer: 0.1392507742850828 0
Observer: 0.14020990143224296 0
Observer: 0.14037520737680592 0
Dropped: 0.14057573440575427 0
Observer: 0.14175251554175883 0
Observer: 0.14245654972791552 0
Observer: 0.14311917556637477 0
Dropped: 0.14460508528512292 0
Observer: 0.14810980758319792 0
Observer: 0.14841696513228794 0
Observer: 0.15093045683238326 0
Observer: 0.1513773894942845 0
Dropped: 0.1514157998272168 0
Observer: 0.15143837912083932 0
Observer: 0.15179271891835394 0
Observer: 0.15341706548740902 0
Observer: 0.15419513569251084 0
Observer: 0.15422437529079663 0
Observer: 0.1549032037883571 0
Observer: 0.1553164612989593 0
Observer: 0.1579223645797378 0
Observer: 0.15937169614224664 0
Observer: 0.16021044144165547 0
Observer: 0.16031740818233753 0
Observer: 0.16156773916129666 0
Observer: 0.16286835583960493 0
Observer: 0.16288714689122907 0
Observer: 0.1631890876763287 0
Observer: 0.16445768290526758 0
Observer: 0.1648476794898513 0
Observer: 0.1653373113567557 0
Observer: 0.16713002621844752 0
Observer: 0.16890811998608543 0
Observer: 0.1691224491435124 0
Observer: 0.16965858794061772 0
Observer: 0.17075819550893606 0
Observer: 0.1719385419491268 0
Observer: 0.17286324676364412 0
Observer: 0.1733111933553257 0
Observer: 0.17461652186312226 0
Observer: 0.1750415357581947 0
Observer: 0.1750460660437151 0
Observer: 0.17557740811773578 0
Observer: 0.17593720976002672 0
Dropped: 0.17593962473209143 0
Observer: 0.1764380483821054 0
Observer: 0.17699369424176215 0
Dropped: 0.1778455374041786 0
Observer: 0.17844989328167857 0
Dropped: 0.17960583382341647 0
Dropped: 0.18019963557805316 0
Observer: 0.1805276358728065 0
Observer: 0.1806411048958117 0
Observer: 0.18255160844078785 0
Observer: 0.18264767696615855 0
Observer: 0.1829592893325075 0
Observer: 0.1833058370833645 0
Observer: 0.18350219125641046 0
Dropped: 0.1838555906246403 0
Observer: 0.18462742206180582 0
Observer: 0.1846664134653268 0
Observer: 0.18579791835736817 0
Observer: 0.18586209623106972 0
Observer: 0.1863923463919853 0
Dropped: 0.18642201363424776 0
Dropped: 0.1864416378066746 0
Observer: 0.18660625833146738 0
Observer: 0.187757284254645 0
Observer: 0.18882426643698297 0
Observer: 0.18884209464905133 0
Observer: 0.18903414627492765 0
Observer: 0.189180209352548 0
Observer: 0.19028911798818496 0
Observer: 0.1906171786336228 0
Observer: 0.19194586124547006 0
Observer: 0.19220331807884425 0
Observer: 0.19472051110432734 0
Observer: 0.195260731952321 0
Observer: 0.19528937588167947 0
Observer: 0.19543409753736365 0
Observer: 0.1959507316757738 0
Observer: 0.196102494786581 0
Dropped: 0.19834607614707292 0
Observer: 0.19865400339057618 0
Dropped: 0.19898390853338105 0
Dropped: 0.19946171663484313 0
Observer: 0.20043958826027009 0
Dropped: 0.2007025974437929 0
Dropped: 0.2022483232252319 0
Dropped: 0.20234359601390048 0
Observer: 0.20331204015156654 0
Observer: 0.20426403733048584 0
Observer: 0.20437520304256857 0
Observer: 0.20460073139120316 0
Dropped: 0.20482377994005194 0
Observer: 0.20482773823257516 0
Dropped: 0.2059044652175929 0
Dropped: 0.20635917456930142 0
Observer: 0.2070441411166914 0
Observer: 0.2077330234468109 0
Observer: 0.2077341892951429 0
Observer: 0.207865736980475 0
Dropped: 0.20905088739726896 0
Observer: 0.20925170390980338 0
Observer: 0.20961663139203746 0
Observer: 0.209648141446084 0
Observer: 0.21150244024172726 0
Observer: 0.21249582433923014 0
Observer: 0.2126612870701703 0
Observer: 0.21407343402218965 0
Observer: 0.21469974350156182 0
Observer: 0.21519783374697865 0
Observer: 0.21569592098446963 0
Observer: 0.21639686233280958 0
Observer: 0.21744189594506222 0
Observer: 0.21835485369964164 0
Observer: 0.2190812371443336 0
Observer: 0.2191744831685997 0
Observer: 0.21958163381698617 0
Observer: 0.21992405964096606 0
Observer: 0.22127525383515811 0
Observer: 0.2221918381613055 0
Observer: 0.22251603816704552 0
Observer: 0.2229091039628198 0
Observer: 0.22324525512824622 0
Observer: 0.22363253136087402 0
Observer: 0.22364372544338262 0
Observer: 0.22377010142911144 0
Observer: 0.22379745569975087 0
Observer: 0.22399228671413735 0
Observer: 0.22422827196405737 0
Observer: 0.22526948870105787 0
Observer: 0.22685595414770943 0
Observer: 0.22713246514983282 0
Observer: 0.22847450095999347 0
Observer: 0.22851033133379775 0
Observer: 0.22893014586343077 0
Observer: 0.22939802074424512 0
Dropped: 0.2297976447695579 0
Observer: 0.23040945046681907 0
Observer: 0.23098092144283258 0
Observer: 0.23098884393337177 0
Observer: 0.23181827056214063 0
Observer: 0.23221356594288106 0
Observer: 0.23405460523131297 0
Dropped: 0.23409513036414703 0
Observer: 0.2352228553451127 0
Observer: 0.2359976323078913 0
Observer: 0.2362121817559567 0
Dropped: 0.23800569008487638 0
Observer: 0.24091692501027315 0
Observer: 0.24229337603581166 0
Dropped: 0.24240056829758833 0
Dropped: 0.24417894199023205 0
Observer: 0.24493992942896994 0
Observer: 0.24635797404286666 0
Dropped: 0.2480250493222354 0
Observer: 0.2481987779222046 0
Observer: 0.24887342998388898 0
Dropped: 0.24912531948461322 0
Observer: 0.250260832289138 0
Observer: 0.2516408874599835 0
Observer: 0.25198586034882525 0
Observer: 0.2527039442120382 0
Observer: 0.25277506592723686 0
Dropped: 0.2535359220952773 0
Observer: 0.2541389956631312 0
Observer: 0.25569392691634835 0
Observer: 0.2567054400504997 0
Observer: 0.2568766834423981 0
Observer: 0.2574879423582665 0
Observer: 0.25796932698419006 0
Observer: 0.25918213095423454 0
Observer: 0.2614572814051141 0
Observer: 0.26167826491929447 0
Observer: 0.2626750066537013 0
Observer: 0.26288216543796067 0
Dropped: 0.26300874874808516 0
Observer: 0.2632379718396134 0
Observer: 0.2635014686708747 0
Observer: 0.264504191248333 0
Dropped: 0.2645210825313177 0
Observer: 0.2647437261068724 0
Observer: 0.2657200752947706 0
Dropped: 0.2670601330282705 0
Observer: 0.2687519956310804 0
Observer: 0.2691506687614269 0
Observer: 0.269344218458915 0
Observer: 0.2697892747973888 0
Observer: 0.270009155539985 0
Observer: 0.2710397474048118 0
Observer: 0.2717269790673696 0
Dropped: 0.27177444566353404 0
Observer: 0.2725290002599738 0
Observer: 0.27312302634774466 0
Observer: 0.2734265875009407 0
Observer: 0.27376605302106183 0
Observer: 0.2739255235559986 0
Observer: 0.27430354338261004 0
Observer: 0.27552984037740974 0
Dropped: 0.27633557295619093 0
Observer: 0.2771960947101167 0
Observer: 0.27721142773384433 0
Observer: 0.2778810615342456 0
Observer: 0.27872961140172015 0
Observer: 0.27893540275043516 0
Observer: 0.2790936803168343 0
Observer: 0.2798322791143672 0
Dropped: 0.2803457441443293 0
Observer: 0.28049854928768064 0
Observer: 0.2827469990773935 0
Observer: 0.2830822009521349 0
Dropped: 0.28505930204794 0
Observer: 0.2854256439424997 0
Observer: 0.2872326451699811 0
Observer: 0.28820242709422483 0
Observer: 0.28899100791869314 0
Dropped: 0.29095382085742183 0
Observer: 0.29129343643916283 0
Observer: 0.2914975465222329 0
Observer: 0.2937338318819369 0
Observer: 0.29419483642121 0
Observer: 0.2950741152785343 0
Observer: 0.29541866422238466 0
Observer: 0.29735857945002714 0
Observer: 0.2976642618124327 0
Dropped: 0.29783562069755654 0
Dropped: 0.29945056286853194 0
Observer: 0.2996467518832576 0
Observer: 0.3007435946952717 0
Observer: 0.30087600539516274 0
Observer: 0.3024454833905848 0
Observer: 0.3031497309178595 0
Observer: 0.30334012426475054 0
Observer: 0.30353038303972446 0
Observer: 0.30356241853454047 0
Observer: 0.3037519935338859 0
Observer: 0.30540431721479827 0
Dropped: 0.3058053776164953 0
Observer: 0.3058766634905285 0
Observer: 0.30737983405692587 0
Observer: 0.30850441204854095 0
Dropped: 0.3086845384042972 0
Observer: 0.30923307436092706 0
Observer: 0.3093255357258093 0
Observer: 0.3104614418313394 0
Observer: 0.3109121908270037 0
Dropped: 0.3109518380904207 0
Observer: 0.3120529846794306 0
Observer: 0.3124104201129936 0
Observer: 0.3124562152120866 0
Observer: 0.31309915774985403 0
Observer: 0.3135240900292309 0
Observer: 0.3145423147897226 0
Dropped: 0.3145426069063932 0
Observer: 0.3149719478056486 0
Observer: 0.3152030352934079 0
Observer: 0.3155969356219375 0
Observer: 0.31563135878421256 0
Observer: 0.317281014210487 0
Observer: 0.3181954920424259 0
Observer: 0.31845413712191517 0
Observer: 0.31940481976155277 0
Observer: 0.32004933438286026 0
Observer: 0.3210312445041038 0
Observer: 0.32135051378758417 0
Observer: 0.32161430611638314 0
Observer: 0.3223158588557692 0
Dropped: 0.3241083731572057 0
Observer: 0.3241496816900249 0
Observer: 0.32459529919707164 0
Observer: 0.32463298596349 0
Observer: 0.32472007795828967 0
Observer: 0.3250639161975043 0
Observer: 0.3252117107060126 0
Observer: 0.32555039555807525 0
Observer: 0.32558765085938723 0
Observer: 0.32560543167987294 0
Observer: 0.3292788061293777 0
Dropped: 0.3302868870920099 0
Observer: 0.33045793807885887 0
Observer: 0.3305474590420525 0
Observer: 0.3314278496172919 0
Observer: 0.3319970698291315 0
Dropped: 0.3328058132574456 0
Observer: 0.3339699631592569 0
Observer: 0.3340771100759373 0
Observer: 0.33653642277435303 0
Observer: 0.33679761839122097 0
Observer: 0.33846024453620593 0
Observer: 0.3386888601067008 0
Observer: 0.3388403814758261 0
Observer: 0.3396954666851722 0
Observer: 0.3399201778672149 0
Observer: 0.3405675065644709 0
Dropped: 0.34057519252829577 0
Dropped: 0.34098480327840364 0
Observer: 0.34123052487889416 0
Observer: 0.3413491150982423 0
Dropped: 0.345064998356634 0
Observer: 0.3452189471907136 0
Observer: 0.3457961832384763 0
Observer: 0.34620347908135185 0
Observer: 0.3462949002553524 0
Observer: 0.3473334727403784 0
Observer: 0.34828579610952903 0
Observer: 0.3490353797608192 0
Dropped: 0.34972657009420294 0
Observer: 0.3525872376171833 0
Observer: 0.35297554162289946 0
Observer: 0.3533311922408259 0
Observer: 0.35497509646706676 0
Dropped: 0.35619200199456597 0
Observer: 0.3563311634649177 0
Observer: 0.3569988206505898 0
Observer: 0.3571053646249188 0
Observer: 0.3590654795144015 0
Observer: 0.3604275574167663 0
Dropped: 0.3624019556053947 0
Dropped: 0.36477840851752996 0
Observer: 0.3649121071079066 0
Dropped: 0.36696773649856806 0
Observer: 0.36698767733272447 0
Observer: 0.3670498648632078 0
Observer: 0.3673552730870519 0
Observer: 0.3678944480400134 0
Observer: 0.3679762278946978 0
Dropped: 0.36867421091612235 0
Dropped: 0.3690921168254777 0
Observer: 0.36924462466304037 0
Observer: 0.37083262556650354 0
Observer: 0.3710862308439397 0
Observer: 0.3716589982466999 0
Observer: 0.3718655883425159 0
Observer: 0.3719459536445559 0
Observer: 0.37213165979020285 0
Dropped: 0.37296754140958177 0
Dropped: 0.37330307755954295 0
Observer: 0.3738358623922741 0
Dropped: 0.3738898314255584 0
Observer: 0.3746618513420632 0
Observer: 0.37490786826376926 0
Observer: 0.37553140816998426 0
Dropped: 0.37559593213204434 0
Observer: 0.3757888514363255 0
Observer: 0.37709145179525594 0
Observer: 0.3772033856772395 0
Observer: 0.3777119153057465 0
Dropped: 0.3788684723920623 0
Dropped: 0.3789580992638438 0
Observer: 0.37957815627644953 0
Observer: 0.3799635101154523 0
Observer: 0.3805946169176717 0
Observer: 0.38114185253430527 0
Observer: 0.3817575575269576 0
Observer: 0.38205217242372863 0
Observer: 0.38206510690879875 0
Observer: 0.3821779142372903 0
Observer: 0.3837156314660056 0
Observer: 0.38413610595296444 0
Dropped: 0.3845926096447963 0
Observer: 0.38536875440018253 0
Observer: 0.385438027130237 0
Observer: 0.3854818303172146 0
Observer: 0.38581187938459593 0
Observer: 0.3863283852913296 0
Observer: 0.38643018962248477 0
Observer: 0.38683824047825727 0
Observer: 0.3876391187609114 0
Observer: 0.38817707863365947 0
Observer: 0.3882146468070842 0
Observer: 0.38858580027835943 0
Observer: 0.38901199250074275 0
Observer: 0.38932202049858483 0
Observer: 0.3898448321448348 0
Observer: 0.39000425349869894 0
Observer: 0.3912831322383901 0
Observer: 0.3913826709199745 0
Dropped: 0.3920624439790471 0
Observer: 0.39214748052068144 0
Observer: 0.39225060186222194 0
Observer: 0.3944847382958653 0
Observer: 0.3953296921295354 0
Observer: 0.39646860241053883 0
Observer: 0.3968832074041399 0
Dropped: 0.39764973113496593 0
Observer: 0.3992330490167355 0
Observer: 0.39935045338609987 0
Observer: 0.39935965603967444 0
Observer: 0.3997396880396359 0
Observer: 0.40022904014002886 0
